Temps(s)	Vx(m/s)	Q (m3/s)	Piston 1		Piston 2	Piston 3	Piston 4	Piston 5	Piston 6
0	0,098646	2,78915E-06	2,78915E-06	2,78915E-06					
0,0004	0,004957	1,40156E-07	1,40156E-07	1,40156E-07					
0,0008	-0,088752	-2,5094E-06	0	0			0,0008		
0,0012	-0,18211	-5,14904E-06	0	0			0,0074	0,0066	
0,0016	-0,27475	-7,76837E-06	0	0			0,014		
0,002	-0,366306	-1,03571E-05	0	0			0,0206		
0,0024	-0,456416	-1,29049E-05	0	0			0,0272		
0,0028	-0,544724	-1,54017E-05	0	0			0,0338		
0,0032	-0,630883	-1,78378E-05	0	0					
0,0036	-0,714552	-2,02035E-05	0	0					
0,004	-0,795401	-2,24894E-05	0	0					
0,0044	-0,873111	-2,46866E-05	0	0					
0,0048	-0,947375	-2,67864E-05	0	0					
0,0052	-1,0179	-2,87804E-05	0	0					
0,0056	-1,084409	-3,06609E-05	0	0					
0,006	-1,146637	-3,24204E-05	0	0					
0,0064	-1,20434	-3,40519E-05	0	0					
0,0068	-1,25729	-3,5549E-05	0	0					
0,0072	-1,305279	-3,69059E-05	0	0	0				
0,0076	-1,348116	-3,81171E-05	0	0	0				
0,008	-1,385632	-3,91778E-05	0	0	0				
0,0084	-1,41768	-4,0084E-05	0	0	0				
0,0088	-1,444133	-4,08319E-05	0	0	0				
0,0092	-1,464887	-4,14187E-05	0	0	0				
0,0096	-1,47986	-4,18421E-05	0	0	0				
0,01	-1,488992	-4,21003E-05	0	0	0				
0,0104	-1,492248	-4,21923E-05	0	0	0				
0,0108	-1,489614	-4,21178E-05	0	0	0				
0,0112	-1,481102	-4,18772E-05	0	0	0				
0,0116	-1,466745	-4,14712E-05	0	0	0				
0,012	-1,446599	-4,09016E-05	0	0	0				
0,0124	-1,420744	-4,01706E-05	0	0	0				
0,0128	-1,389282	-3,9281E-05	0	0	0				
0,0132	-1,352337	-3,82364E-05	0	0	0				
0,0136	-1,310055	-3,70409E-05	0	0	0				
0,014	-1,262603	-3,56993E-05	0	0	0	0			
0,0144	-1,210167	-3,42167E-05	0	0	0	0			
0,0148	-1,152956	-3,25991E-05	0	0	0	0			
0,0152	-1,091195	-3,08528E-05	0	0	0	0			
0,0156	-1,025127	-2,89848E-05	0	0	0	0			
0,016	-0,955014	-2,70024E-05	0	0	0	0			
0,0164	-0,881131	-2,49134E-05	0	0	0	0			
0,0168	-0,803772	-2,27261E-05	0	0	0	0			
0,0172	-0,72324	-2,04491E-05	0	0	0	0			
0,0176	-0,639853	-1,80914E-05	0	0	0	0			
0,018	-0,553942	-1,56623E-05	0	0	0	0			
0,0184	-0,465844	-1,31714E-05	0	0	0	0			
0,0188	-0,375908	-1,06285E-05	0	0	0	0			
0,0192	-0,284489	-8,04374E-06	0	0	0	0			
0,0196	-0,191946	-5,42715E-06	0	0	0	0			
0,02	-0,098646	-2,78915E-06	0	0	0	0			
0,0204	-0,004957	-1,40156E-07	0	0	0	0	0		
0,0208	0,088752	2,5094E-06	2,5094E-06	2,5094E-06	0	0	0		
0,0212	0,18211	5,14904E-06	5,14904E-06	5,14904E-06	0	0	0		
0,0216	0,27475	7,76837E-06	7,76837E-06	7,76837E-06	0	0	0		
0,022	0,366306	1,03571E-05	1,03571E-05	1,03571E-05	0	0	0		
0,0224	0,456416	1,29049E-05	1,29049E-05	1,29049E-05	0	0	0		
0,0228	0,544724	1,54017E-05	1,54017E-05	1,54017E-05	0	0	0		
0,0232	0,630883	1,78378E-05	1,78378E-05	1,78378E-05	0	0	0		
0,0236	0,714552	2,02035E-05	2,02035E-05	2,02035E-05	0	0	0		
0,024	0,795401	2,24894E-05	2,24894E-05	2,24894E-05	0	0	0		
0,0244	0,873111	2,46866E-05	2,46866E-05	2,46866E-05	0	0	0		
0,0248	0,947375	2,67864E-05	2,67864E-05	2,67864E-05	0	0	0		
0,0252	1,0179	2,87804E-05	2,87804E-05	2,87804E-05	0	0	0		
0,0256	1,084409	3,06609E-05	3,06609E-05	3,06609E-05	0	0	0		
0,026	1,146637	3,24204E-05	3,24204E-05	3,24204E-05	0	0	0		
0,0264	1,20434	3,40519E-05	3,40519E-05	3,40519E-05	0	0	0		
0,0268	1,25729	3,5549E-05	3,5549E-05	3,5549E-05	0	0	0		
0,0272	1,305279	3,69059E-05	3,69059E-05	3,69059E-05	2,5094E-06	0	0	0	
0,0276	1,348116	3,81171E-05	3,81171E-05	3,81171E-05	5,14904E-06	0	0	0	
0,028	1,385632	3,91778E-05	3,91778E-05	3,91778E-05	7,76837E-06	0	0	0	
0,0284	1,41768	4,0084E-05	4,0084E-05	4,0084E-05	1,03571E-05	0	0	0	
0,0288	1,444133	4,08319E-05	4,08319E-05	4,08319E-05	1,29049E-05	0	0	0	
0,0292	1,464887	4,14187E-05	4,14187E-05	4,14187E-05	1,54017E-05	0	0	0	
0,0296	1,47986	4,18421E-05	4,18421E-05	4,18421E-05	1,78378E-05	0	0	0	
0,03	1,488992	4,21003E-05	4,21003E-05	4,21003E-05	2,02035E-05	0	0	0	
0,0304	1,492248	4,21923E-05	4,21923E-05	4,21923E-05	2,24894E-05	0	0	0	
0,0308	1,489614	4,21178E-05	4,21178E-05	4,21178E-05	2,46866E-05	0	0	0	
0,0312	1,481102	4,18772E-05	4,18772E-05	4,18772E-05	2,67864E-05	0	0	0	
0,0316	1,466745	4,14712E-05	4,14712E-05	4,14712E-05	2,87804E-05	0	0	0	
0,032	1,446599	4,09016E-05	4,09016E-05	4,09016E-05	3,06609E-05	0	0	0	
0,0324	1,420744	4,01706E-05	4,01706E-05	4,01706E-05	3,24204E-05	0	0	0	
